"","Session","ID","Occasion","TrapID"
"72","1","T5_M",4,"S17"
"73","1","T5_M",6,"D15"
"74","1","T5_M",6,"S16"
"75","1","T5_M",7,"D4"
"76","1","T5_M",8,"N17"
"77","1","T5_M",9,"N21"
"78","1","T5_M",9,"D16"
"79","1","T5_M",11,"D16"
"80","1","T5_M",11,"D18"
"81","1","T5_M",12,"N21"
"82","1","T5_M",25,"D5"
"83","1","T5_M",26,"D16"
"84","1","T5_M",27,"S16"
"85","1","T5_M",29,"D15"
"86","1","T5_M",29,"D16"
"87","1","T5_M",33,"D16"
"88","1","T5_M",33,"J9"
"89","1","T5_M",36,"D16"
"90","1","T5_M",41,"D16"
"91","1","T5_M",41,"D22"
"92","1","T5_M",41,"J9"
"93","1","T5_M",42,"D5"
"94","1","T5_M",42,"D22"
"95","1","T5_M",44,"D16"
"96","1","T6_F",1,"N14"
"97","1","T6_F",15,"N2"
"98","1","T6_F",21,"N13"
"99","1","T7_F",2,"J60"
"100","1","T7_F",15,"D11"
"101","1","T8_M",1,"J33"
"102","1","T8_M",4,"D14"
"103","1","T8_M",4,"J9"
"104","1","T8_M",4,"J15"
"105","1","T8_M",4,"J17"
"106","1","T8_M",4,"J28"
"107","1","T8_M",6,"J16"
"108","1","T8_M",6,"J52"
"109","1","T8_M",6,"J55"
"110","1","T8_M",11,"D12"
"111","1","T8_M",11,"D14"
"112","1","T8_M",16,"J28"
"113","1","T8_M",16,"J29"
"114","1","T8_M",17,"D14"
"115","1","T8_M",31,"J9"
"116","1","T8_M",31,"J15"
"117","1","T8_M",31,"J17"
"118","1","T8_M",34,"J28"
"119","1","T8_M",34,"J57"
"120","1","T8_M",34,"J58"
"121","1","T8_M",34,"J60"
"122","1","T8_M",38,"D11"
"123","1","T8_M",38,"D14"
"124","1","T8_M",58,"J15"
"125","1","T8_M",58,"J16"
"126","1","T8_M",64,"J9"
"127","1","T8_M",64,"J17"
"128","1","T9_M",1,"S19"
"129","1","T9_M",2,"J45"
"130","1","T9_M",3,"S5"
"131","1","T9_M",3,"S9"
"132","1","T9_M",4,"S4"
"133","1","T9_M",4,"S5"
"134","1","T9_M",5,"S8"
"135","1","T9_M",9,"S9"
"136","1","T9_M",10,"S8"
"137","1","T9_M",17,"S9"
"138","1","T9_M",24,"S19"
"139","1","T9_M",26,"S5"
"140","1","T9_M",31,"S8"
"141","1","T9_M",31,"S9"
"142","1","T10_M",4,"J28"
"143","1","T10_M",6,"J28"
"144","1","T11_F",3,"J52"
"145","1","T11_F",3,"J55"
"146","1","T11_F",4,"J48"
"147","1","T11_F",7,"J58"
"148","1","T11_F",7,"J59"
"149","1","T11_F",10,"J50"
"150","1","T11_F",13,"J49"
"151","1","T11_F",13,"J52"
"152","1","T11_F",18,"J58"
"153","1","T11_F",23,"J59"
"154","1","T11_F",24,"J59"
"155","1","T11_F",29,"J57"
"156","1","T11_F",30,"J52"
"157","1","T11_F",31,"J59"
"158","1","T12_F",3,"S17"
"159","1","T12_F",5,"S17"
"160","1","T12_F",33,"D16"
"161","1","T12_F",35,"D16"
"162","1","T12_F",36,"D16"
"163","1","T13_F",3,"D14"
"164","1","T13_F",4,"J28"
"165","1","T13_F",6,"J29"
"166","1","T13_F",16,"D14"
"167","1","T13_F",18,"J33"
"168","1","T13_F",25,"J28"
"169","1","T13_F",25,"J29"
"170","1","T13_F",39,"D14"
"171","1","T13_F",39,"J28"
"172","1","T13_F",39,"J29"
"173","1","T13_F",48,"J15"
"174","1","T13_F",57,"J15"
"175","1","T14_F",2,"J50"
"176","1","T14_F",8,"J9"
"177","1","T14_F",8,"J17"
"178","1","T14_F",16,"D14"
"179","1","T14_F",21,"N11"
"180","1","T15_M",6,"J44"
"181","1","T15_M",7,"J20"
"182","1","T15_M",7,"J36"
"183","1","T15_M",7,"J37"
"184","1","T15_M",8,"J27"
"185","1","T15_M",10,"J38"
"186","1","T15_M",14,"J42"
"187","1","T15_M",14,"J43"
"188","1","T15_M",15,"J30"
"189","1","T15_M",16,"J39"
"190","1","T15_M",19,"J38"
"191","1","T15_M",21,"J48"
"192","1","T15_M",23,"J38"
"193","1","T15_M",29,"J48"
"194","1","T15_M",30,"J44"
"195","1","T15_M",37,"J38"
"196","1","T16_F",8,"J39"
"197","1","T16_F",9,"J20"
"198","1","T16_F",10,"J20"
"199","1","T16_F",15,"J35"
"200","1","T16_F",15,"J40"
"201","1","T16_F",16,"J27"
"202","1","T16_F",18,"J21"
"203","1","T16_F",21,"J39"
"204","1","T16_F",23,"J25"
"205","1","T16_F",24,"J21"
"206","1","T16_F",25,"J31"
"207","1","T16_F",31,"J30"
"208","1","T16_F",34,"J20"
"209","1","T16_F",35,"J38"
"210","1","T16_F",37,"J21"
"211","1","T16_F",39,"J25"
"212","1","T16_F",41,"J32"
"213","1","T17_F",12,"J9"
"214","1","T17_F",12,"J10"
"215","1","T17_F",21,"N16"
"216","1","T17_F",54,"J9"
"217","1","T17_F",54,"J10"
"218","1","T18_M",9,"J38"
"219","1","T18_M",10,"J20"
"220","1","T18_M",17,"J5"
"221","1","T18_M",17,"J6"
"222","1","T18_M",17,"J7"
"223","1","T18_M",19,"J38"
"224","1","T18_M",21,"J5"
"225","1","T18_M",25,"J5"
"226","1","T18_M",29,"J38"
"227","1","T18_M",31,"J5"
"228","1","T18_M",36,"J38"
"229","1","T18_M",39,"J5"
"230","1","T19_F",19,"N6"
"231","1","T19_F",19,"N7"
"232","1","T19_F",19,"N8"
"233","1","T19_F",28,"N6"
"234","1","T19_F",28,"N7"
"235","1","T19_F",29,"N3"
"236","1","T19_F",30,"N8"
"237","1","T19_F",36,"N6"
"238","1","T19_F",37,"N4"
"239","1","T19_F",48,"N6"
"240","1","T19_F",48,"N7"
"241","1","T20_F",6,"D16"
"242","1","T20_F",7,"D16"
"243","1","T20_F",8,"D16"
"244","1","T20_F",8,"D17"
"245","1","T20_F",9,"D17"
"246","1","T20_F",12,"D16"
"247","1","T20_F",14,"D18"
"248","1","T20_F",14,"D21"
"249","1","T20_F",15,"D17"
"250","1","T20_F",23,"D19"
"251","1","T20_F",25,"D16"
"252","1","T20_F",28,"D16"
"253","1","T20_F",30,"D16"
"254","1","T20_F",33,"D16"
"255","1","T20_F",39,"D16"
"256","1","T20_F",39,"D18"
"257","1","T20_F",41,"D16"
"258","1","T20_F",42,"D16"
"259","1","T20_F",42,"D17"
"260","1","T20_F",42,"D21"
"261","1","T20_F",44,"D16"
"262","1","T21_F",16,"D18"
"263","1","T21_F",18,"J15"
"264","1","T21_F",32,"D13"
"265","1","T21_F",33,"D14"
"266","1","T21_F",34,"D14"
"267","1","T21_F",34,"J13"
"268","1","T21_F",40,"J17"
"269","1","T21_F",57,"J16"
"270","1","T22_F",14,"J5"
"271","1","T22_F",20,"J5"
"272","1","T22_F",21,"J7"
"273","1","T22_F",23,"J2"
"274","1","T22_F",25,"J7"
"275","1","T22_F",25,"J38"
"276","1","T22_F",36,"J5"
"277","1","T22_F",39,"J5"
"278","1","T23_F",6,"J42"
"279","1","T23_F",6,"J43"
"280","1","T23_F",6,"J44"
"281","1","T23_F",18,"J25"
"282","1","T23_F",22,"J42"
"283","1","T23_F",24,"J48"
"284","1","T23_F",25,"J41"
"285","1","T23_F",26,"J44"
"286","1","T23_F",28,"J40"
"287","1","T23_F",36,"J40"
"288","1","T23_F",37,"J35"
"289","1","T23_F",42,"J27"
"290","1","T24_F",8,"J63"
"291","1","T24_F",14,"J56"
"292","1","T24_F",22,"J63"
"293","1","T24_F",24,"S19"
"294","1","T24_F",26,"S5"
"295","1","T24_F",27,"S19"
"296","1","T26_M",22,"S2"
"297","1","T26_M",27,"S9"
"298","1","T27_M",18,"S20"
"299","1","T27_M",20,"S21"
"300","1","T27_M",27,"S5"
"301","1","T28_F",28,"S12"
"302","1","T29_F",5,"S2"
"303","1","T29_F",12,"S19"
"304","1","T29_F",14,"S8"
"305","1","T29_F",21,"S4"
"306","1","T29_F",21,"S8"
"307","1","T29_F",23,"S5"
"308","1","T29_F",28,"S9"
"309","1","T36_M",6,"D16"
"310","1","T36_M",7,"D16"
"311","1","T36_M",8,"D17"
"312","1","T36_M",14,"D16"
